"data";"valor"
"01/01/2010";"0,66"
"01/02/2010";"0,59"
"01/03/2010";"0,76"
"01/04/2010";"0,67"
"01/05/2010";"0,75"
"01/06/2010";"0,79"
"01/07/2010";"0,86"
"01/08/2010";"0,89"
"01/09/2010";"0,85"
"01/10/2010";"0,81"
"01/11/2010";"0,81"
"01/12/2010";"0,93"
"01/01/2011";"0,86"
"01/02/2011";"0,84"
"01/03/2011";"0,92"
"01/04/2011";"0,84"
"01/05/2011";"0,99"
"01/06/2011";"0,96"
"01/07/2011";"0,97"
"01/08/2011";"1,07"
"01/09/2011";"0,94"
"01/10/2011";"0,88"
"01/11/2011";"0,86"
"01/12/2011";"0,91"
"01/01/2012";"0,89"
"01/02/2012";"0,75"
"01/03/2012";"0,82"
"01/04/2012";"0,71"
"01/05/2012";"0,74"
"01/06/2012";"0,64"
"01/07/2012";"0,68"
"01/08/2012";"0,69"
"01/09/2012";"0,54"
"01/10/2012";"0,61"
"01/11/2012";"0,55"
"01/12/2012";"0,55"
"01/01/2013";"0,60"
"01/02/2013";"0,49"
"01/03/2013";"0,55"
"01/04/2013";"0,61"
"01/05/2013";"0,60"
"01/06/2013";"0,61"
"01/07/2013";"0,72"
"01/08/2013";"0,71"
"01/09/2013";"0,71"
"01/10/2013";"0,81"
"01/11/2013";"0,72"
"01/12/2013";"0,79"
"01/01/2014";"0,85"
"01/02/2014";"0,79"
"01/03/2014";"0,77"
"01/04/2014";"0,82"
"01/05/2014";"0,87"
"01/06/2014";"0,82"
"01/07/2014";"0,95"
"01/08/2014";"0,87"
"01/09/2014";"0,91"
"01/10/2014";"0,95"
"01/11/2014";"0,84"
"01/12/2014";"0,96"
"01/01/2015";"0,94"
"01/02/2015";"0,82"
"01/03/2015";"1,04"
"01/04/2015";"0,95"
"01/05/2015";"0,99"
"01/06/2015";"1,07"
"01/07/2015";"1,18"
"01/08/2015";"1,11"
"01/09/2015";"1,11"
"01/10/2015";"1,11"
"01/11/2015";"1,06"
"01/12/2015";"1,16"
"01/01/2016";"1,06"
"01/02/2016";"1,00"
"01/03/2016";"1,16"
"01/04/2016";"1,06"
"01/05/2016";"1,11"
"01/06/2016";"1,16"
"01/07/2016";"1,11"
"01/08/2016";"1,22"
"01/09/2016";"1,11"
"01/10/2016";"1,05"
"01/11/2016";"1,04"
"01/12/2016";"1,12"
"01/01/2017";"1,09"
"01/02/2017";"0,87"
"01/03/2017";"1,05"
"01/04/2017";"0,79"
"01/05/2017";"0,93"
"01/06/2017";"0,81"
"01/07/2017";"0,80"
"01/08/2017";"0,80"
"01/09/2017";"0,64"
"01/10/2017";"0,64"
"01/11/2017";"0,57"
"01/12/2017";"0,54"
"01/01/2018";"0,58"
"01/02/2018";"0,47"
"01/03/2018";"0,53"
"01/04/2018";"0,52"
"01/05/2018";"0,52"
"01/06/2018";"0,52"
"01/07/2018";"0,54"
"01/08/2018";"0,57"
"01/09/2018";"0,47"
"01/10/2018";"0,54"
"01/11/2018";"0,49"
"01/12/2018";"0,49"
"01/01/2019";"0,54"
"01/02/2019";"0,49"
"01/03/2019";"0,47"
"01/04/2019";"0,52"
"01/05/2019";"0,54"
"01/06/2019";"0,47"
"01/07/2019";"0,57"
"01/08/2019";"0,50"
"01/09/2019";"0,46"
"01/10/2019";"0,48"
"01/11/2019";"0,38"
"01/12/2019";"0,37"
"01/01/2020";"0,38"
"01/02/2020";"0,29"
"01/03/2020";"0,34"
"01/04/2020";"0,28"
"01/05/2020";"0,24"
"01/06/2020";"0,21"
"01/07/2020";"0,19"
"01/08/2020";"0,16"
"01/09/2020";"0,16"
"01/10/2020";"0,16"
"01/11/2020";"0,15"
"01/12/2020";"0,16"
"01/01/2021";"0,15"
"01/02/2021";"0,13"
"01/03/2021";"0,20"
"01/04/2021";"0,21"
"01/05/2021";"0,27"
"01/06/2021";"0,31"
"01/07/2021";"0,36"
"01/08/2021";"0,43"
"01/09/2021";"0,44"
"01/10/2021";"0,49"
"01/11/2021";"0,59"
"01/12/2021";"0,77"
"01/01/2022";"0,73"
"01/02/2022";"0,76"
"01/03/2022";"0,93"
"01/04/2022";"0,83"
"01/05/2022";"1,03"
"01/06/2022";"1,02"
"01/07/2022";"1,03"
"01/08/2022";"1,17"
"01/09/2022";"1,07"
"01/10/2022";"1,02"
"01/11/2022";"1,02"
"01/12/2022";"1,12"
"01/01/2023";"1,12"
"01/02/2023";"0,92"
"01/03/2023";"1,17"
"01/04/2023";"0,92"
"01/05/2023";"1,12"
"01/06/2023";"1,07"
"01/07/2023";"1,07"
"01/08/2023";"1,14"
"01/09/2023";"0,97"
"01/10/2023";"1,00"
"01/11/2023";"0,92"
"01/12/2023";"0,89"
"01/01/2024";"0,97"
"01/02/2024";"0,80"
"01/03/2024";"0,83"
"01/04/2024";"0,89"
"01/05/2024";"0,83"
"01/06/2024";"0,79"
"01/07/2024";"0,91"
"01/08/2024";"0,87"
"01/09/2024";"0,84"
"01/10/2024";"0,93"
"01/11/2024";"0,79"
"01/12/2024";"0,93"
